MasterID	Mag	Magerr	RA	Dec	MJD	Blend
2.10718E+12	17.08	0.06	192.62129	6.60294	54571.24863	0
2.10718E+12	17.08	0.06	192.62131	6.60294	54571.25562	0
2.10718E+12	17.06	0.06	192.6213	6.60294	54571.26261	0
2.10718E+12	17.08	0.06	192.62132	6.60295	54571.2696	0
2.10718E+12	17.1	0.06	192.62126	6.60295	54829.4859	0
2.10718E+12	17.15	0.06	192.62125	6.60297	54829.49713	0
2.10718E+12	17.01	0.06	192.62127	6.60301	54829.50831	0
2.10718E+12	17.1	0.06	192.62126	6.60295	54829.51961	0
2.10718E+12	17.07	0.06	192.62131	6.60295	54535.38023	0
2.10718E+12	17.08	0.06	192.62131	6.60293	54535.38982	0
2.10718E+12	17.04	0.06	192.62133	6.60301	54535.39949	0
2.10718E+12	17.06	0.06	192.62132	6.60294	54535.40919	0
2.10718E+12	17.1	0.06	192.62131	6.60292	54999.20484	0
2.10718E+12	17.1	0.06	192.6213	6.60293	54999.21176	0
2.10718E+12	17.12	0.06	192.62131	6.60295	54999.21865	0
2.10718E+12	17.13	0.06	192.62129	6.60292	54999.22542	0
2.10718E+12	17.09	0.06	192.62136	6.603	54918.29462	0
2.10718E+12	17.12	0.06	192.6213	6.60296	54918.3014	0
2.10718E+12	17.1	0.06	192.62135	6.60298	54918.3083	0
2.10718E+12	17.11	0.06	192.62131	6.60297	54918.31519	0
2.10718E+12	17.2	0.06	192.62131	6.60298	55370.20615	0
2.10718E+12	17.22	0.06	192.6213	6.60295	55370.21143	0
2.10718E+12	17.2	0.06	192.62128	6.60295	55370.2168	0
2.10718E+12	17.27	0.06	192.62129	6.60297	55370.22215	0
2.10718E+12	17.07	0.06	192.62128	6.60294	55657.30112	0
2.10718E+12	17.03	0.06	192.62128	6.60295	55657.30813	0
2.10718E+12	17.03	0.06	192.62127	6.60294	55657.31507	0
2.10718E+12	17.13	0.06	192.62133	6.60293	55587.52599	0
2.10718E+12	17.03	0.06	192.6213	6.60299	55587.5306	0
2.10718E+12	17.1	0.06	192.62133	6.60294	55587.53515	0
2.10718E+12	17.11	0.06	192.62128	6.60295	55587.5397	0
2.10718E+12	17.05	0.06	192.6212	6.60291	55958.46731	0
